window_start	window_end	window_mid	control_maternal_mean	control_paternal_mean	n_controls_maternal	n_controls_paternal	maternal_paternal_delta	abs_delta	control_maternal_mean_smoothed	control_paternal_mean_smoothed
18000000	18001000	18000500	0.7967314340588989	0.797367743702081	2	2	-0.000636309643182	0.000636309643182	0.6549559612893174	0.7240618195678555
18001000	18002000	18001500	0.8446818181818182	0.9277667279411764	2	2	-0.0830849097593583	0.0830849097593583	0.6577558427238255	0.7425993335801555
18002000	18003000	18002500	0.7407222222222222	0.7568192307692307	2	2	-0.0160970085470085	0.0160970085470085	0.6577558427238255	0.7425993335801555
18003000	18004000	18003500	0.9389411157024792	0.9630805369127516	2	1	-0.0241394212102723	0.0241394212102723	0.6877943797873882	0.7240618195678555
18004000	18005000	18004500	0.9139357680250784	0.992032	2	1	-0.0780962319749216	0.0780962319749216	0.717832916850951	0.7425993335801555
18005000	18006000	18005500	0.5439801885429458	0.4703524193548387	2	2	0.0736277691881071	0.0736277691881071	0.7278837108669927	0.7432608318386215
18006000	18007000	18006500	0.5198326367781156	0.6541383099967438	2	2	-0.1343056732186281	0.1343056732186281	0.7379345048830342	0.7439223300970874
18007000	18008000	18007500	0.6521560798548094	0.6240474747474749	2	2	0.0281086051073344	0.0281086051073344	0.7393283635526282	0.7503707804331591
18008000	18009000	18008500	0.717832916850951	0.7439223300970874	2	2	-0.0260894132461364	0.0260894132461364	0.7407222222222222	0.7568192307692307
18009000	18010000	18009500	0.5084691332218506	0.5916984999780055	2	2	-0.0832293667561548	0.0832293667561548	0.7393283635526282	0.7503707804331591
18010000	18011000	18010500	0.4781909290912167	0.669673400297619	2	2	-0.1914824712064023	0.1914824712064023	0.7379345048830342	0.7439223300970874
18011000	18012000	18011500	0.553881479717393	0.7425993335801555	2	2	-0.1887178538627625	0.1887178538627625	0.7393283635526282	0.7503707804331591
18012000	18013000	18012500	0.6577558427238255	0.7009062640660164	2	2	-0.0431504213421909	0.0431504213421909	0.7407222222222222	0.7568192307692307
18013000	18014000	18013500	0.6452554347826087	0.8153315118397084	2	2	-0.1700760770570997	0.1700760770570997	0.7408075396825395	0.7503707804331591
18014000	18015000	18014500	0.5972696566998892	0.7055243055555556	2	2	-0.1082546488556663	0.1082546488556663	0.740892857142857	0.7439223300970874
18015000	18016000	18015500	0.8063465753424657	0.6919	2	2	0.1144465753424657	0.1144465753424657	0.7546928233082706	0.7503707804331591
18016000	18017000	18016500	0.8813509267519081	0.7966034153179559	2	2	0.0847475114339522	0.0847475114339522	0.7408075396825395	0.7432608318386215
18017000	18018000	18017500	NaN	NaN	0	0	NaN	NaN	0.7393283635526282	0.733592983621761
18018000	18019000	18018500	0.7379345048830342	0.6934010770975056	2	2	0.0445334277855286	0.0445334277855286	0.7394136810129457	0.7321013376650165
18019000	18020000	18019500	0.740892857142857	0.7924235760026963	2	2	-0.0515307188598392	0.0515307188598392	0.7394136810129457	0.7321013376650165
18020000	18021000	18020500	0.7987176056338028	0.8084313218390804	2	2	-0.0097137162052776	0.0097137162052776	0.7394136810129457	0.7321013376650165
18021000	18022000	18021500	0.9012331162671796	0.8645003267173079	2	2	0.0367327895498716	0.0367327895498716	0.7526299363442468	0.7411076876234111
18022000	18023000	18022500	0.8655513358778626	0.8451332897122371	2	2	0.0204180461656254	0.0204180461656254	0.7526299363442468	0.7432608318386215
