boundary_source	cohort	segment_index	entry_window_start	exit_window_end	high_run_start	high_run_end	n_high_windows	max_mean_signal
AS_DEL	AS_DEL	1	22691000	22694800	22691000	22692600	7	0.4147479871175522
AS_DEL	AS_DEL	2	22692200	22694800	22692200	22694300	12	0.4507247474747482
Control	Control	1	22013800	22026300	22013800	22015200	5	0.5930000000000009
Control	Control	2	22063900	22068800	22063900	22065300	5	0.42100000000000115
Control	Control	3	22108600	22128700	22108600	22110100	6	0.4614000000000004
Control	Control	4	22113800	22128700	22113800	22115200	5	0.46371428571428297
Control	Control	5	22161100	22163700	22161100	22162800	8	0.6352272727272732
Control	Control	6	22186200	22194600	22186200	22188100	10	0.7746666666666707
Control	Control	7	22271300	22279100	22271300	22272700	5	0.5135000000000005
Control	Control	8	22281100	22320600	22281100	22283000	10	0.5721666666666796
Control	Control	9	22305000	22320600	22305000	22306500	6	0.5655000000000072
Control	Control	10	22334300	22344400	22334300	22335700	5	0.46399999999999864
Control	Control	11	22338000	22344400	22338000	22339900	10	0.6449999999999818
Control	Control	12	22344100	22354600	22344100	22346300	13	0.578249999999997
Control	Control	13	22352200	22354600	22352200	22353800	7	0.5316666666666379
Control	Control	14	22359800	22368400	22359800	22361700	10	0.8940000000000055
Control	Control	15	22397700	22410500	22397700	22399500	9	0.4846250000000012
Control	Control	16	22404700	22410500	22404700	22406800	12	0.6899999999999835
Control	Control	17	22447200	22469500	22447200	22448600	5	0.4060000000000059
Control	Control	18	22500700	22508200	22500700	22503200	16	0.6675000000000182
Control	Control	19	22508500	22517700	22508500	22511100	17	0.5826960784313704
Control	Control	20	22514200	22517700	22514200	22516200	11	0.48862499999999187
Control	Control	21	22559300	22564300	22559300	22561400	12	0.7632727272727287
Control	Control	22	22583400	22586300	22583400	22585800	15	0.6186374113475178
Control	Control	23	22592400	22601500	22592400	22594800	15	0.5083636363636349
Control	Control	24	22614200	22616400	22614200	22615800	7	0.5017282608695651
Control	Control	25	22636400	22639500	22636400	22637800	5	0.46621428571429696
Control	Control	26	22690600	22696600	22690600	22694500	30	0.8950962566844896
Control	Control	27	22728200	22738100	22728200	22729800	7	0.4934999999999832
Control	Control	28	22738800	22746800	22738800	22740200	5	0.5104999999999791
Control	Control	29	22873500	22884800	22873500	22875400	10	0.5595000000000141
Control	Control	30	22878100	22884800	22878100	22879900	9	0.4733999999999924
Control	Control	31	22888900	22910200	22888900	22890600	8	0.8809999999999718
Control	Control	32	23026100	23041800	23026100	23028000	10	0.8389999999999418
Control	Control	33	23031000	23041800	23031000	23032800	9	0.4560000000000173
Control	Control	34	23108500	23110500	23108500	23110100	7	0.5019999999999527
Control	Control	35	23315300	23319100	23315300	23317200	10	0.8959999999999582
Control	Control	36	23913200	23915100	23913200	23914600	5	0.4830833333333354
Control	Control	37	24644200	24652100	24644200	24646300	12	0.6949999999999363
Control	Control	38	24663200	24666900	24663200	24665500	14	0.8490000000001601
Control	Control	39	24696400	24700200	24696400	24698200	9	0.7974999999999
Control	Control	40	24719500	24723100	24719500	24721200	8	0.4848749999999882
Control	Control	41	24720700	24723100	24720700	24722100	5	0.5320000000001528
Control	Control	42	24814300	24827300	24814300	24815900	7	0.5868333333333264
Control	Control	43	24939000	24942200	24939000	24940700	8	0.7269999999998618
Control	Control	44	25007800	25011600	25007800	25010400	17	0.8930000000000291
Control	Control	45	25207600	25212800	25207600	25209200	7	0.5276428571429018
Control	Control	46	26250100	26252100	26250100	26251600	6	0.813499999999749
Control	Control	47	27326100	27337900	27326100	27327500	5	0.5084285714285995
Control	Control	48	27739900	27743200	27739900	27741900	11	0.6307499999998072
Control	Control	49	27885500	27925600	27885500	27886900	5	0.5306999999999789
Control	Control	50	27887800	27925600	27887800	27889400	7	0.9070000000001528
Control	Control	51	28692500	28694800	28692500	28693900	5	0.568749999999909
PWS_DEL	PWS_DEL	1	22509000	22511300	22509000	22510500	6	0.42985154249872
PWS_DEL	PWS_DEL	2	22690900	22694700	22690900	22693900	21	0.4880732418524872
PWS_DEL	PWS_DEL	3	24696400	24697900	24696400	24697800	5	0.4450000000000074
