group	group_label	breakpoint_side	distance_bin	distance_mid_kb	mean_delta_vs_control	ci_low	ci_high	n_samples	n_regions
AS_DEL	AS-DEL	3prime	0-10 kb	5.0	-0.0310224494635349	-0.05083452856824161	-0.016955277126286295	3	3
AS_DEL	AS-DEL	3prime	10-25 kb	17.5	-0.03072819354778179	-0.049910879452986334	-0.008308710563139265	3	3
AS_DEL	AS-DEL	3prime	25-50 kb	37.5	-0.004743517818853349	-0.027179757002311764	0.006666175256559082	3	3
AS_DEL	AS-DEL	3prime	50-100 kb	75.0	-0.011987217724927881	-0.024394062366619645	-0.0008862676562756314	3	3
AS_DEL	AS-DEL	5prime	0-10 kb	5.0	0.006393851303518296	0.0011546761494029259	0.015594744724314222	3	3
AS_DEL	AS-DEL	5prime	10-25 kb	17.5	-0.0014580572593461741	-0.017616839850070936	0.012435440044716037	3	3
AS_DEL	AS-DEL	5prime	25-50 kb	37.5	-0.020411883131947427	-0.03516294896899864	0.00654916007361549	3	3
AS_DEL	AS-DEL	5prime	50-100 kb	75.0	0.005456457578880764	-0.005078790814719718	0.017858245411345154	3	3
PWS_DEL	PWS-DEL	3prime	0-10 kb	5.0	-0.023409657314222964	-0.06549199749981653	0.011657404596366392	5	5
PWS_DEL	PWS-DEL	3prime	10-25 kb	17.5	0.0014419075057212438	-0.011408385180390727	0.014292200191833216	5	5
PWS_DEL	PWS-DEL	3prime	25-50 kb	37.5	0.002875743911345684	-0.010281902608520558	0.014085741814189912	5	5
PWS_DEL	PWS-DEL	3prime	50-100 kb	75.0	-0.004150897153136398	-0.021809217153386445	0.011710405958104264	5	5
PWS_DEL	PWS-DEL	5prime	0-10 kb	5.0	-0.0022251729204370916	-0.01321428369779732	0.008763937856923138	4	4
PWS_DEL	PWS-DEL	5prime	10-25 kb	17.5	0.03355543586405757	-0.008889590942842543	0.09269454288575733	4	4
PWS_DEL	PWS-DEL	5prime	25-50 kb	37.5	-0.017349549616506768	-0.03842579156075209	-0.004250838563725336	4	4
PWS_DEL	PWS-DEL	5prime	50-100 kb	75.0	0.0029202875987538006	-0.0048755224672704526	0.011559997223655565	5	5
PWS_mUPD	PWS-UPD BP-matched	3prime	0-10 kb	5.0	-0.0031467127707912007			1	8
PWS_mUPD	PWS-UPD BP-matched	3prime	10-25 kb	17.5	-0.007485227058428948			1	8
PWS_mUPD	PWS-UPD BP-matched	3prime	25-50 kb	37.5	-0.005326760979405322			1	8
PWS_mUPD	PWS-UPD BP-matched	3prime	50-100 kb	75.0	-0.0022188954538507064			1	8
PWS_mUPD	PWS-UPD BP-matched	5prime	0-10 kb	5.0	-0.03019640404590807			1	8
PWS_mUPD	PWS-UPD BP-matched	5prime	10-25 kb	17.5	0.0014898347513113116			1	8
PWS_mUPD	PWS-UPD BP-matched	5prime	25-50 kb	37.5	-0.017856158884324576			1	8
PWS_mUPD	PWS-UPD BP-matched	5prime	50-100 kb	75.0	-0.01384462352560519			1	8
