sample	group	layer	n_cpg	total_coverage	mean_methylation
001P	PWS_DEL	hap1	0	0.0	
001P	PWS_DEL	hap2	0	0.0	
002P	PWS_DEL	hap1	0	0.0	
002P	PWS_DEL	hap2	0	0.0	
004P	PWS_mUPD	hap1	127	2464.0	0.8632130681818183
004P	PWS_mUPD	hap2	127	2917.0	0.7950058279053823
005P	PWS_DEL	hap1	0	0.0	
005P	PWS_DEL	hap2	0	0.0	
006P	PWS_DEL	hap1	0	0.0	
006P	PWS_DEL	hap2	0	0.0	
007P	PWS_DEL	hap1	13	52.0	0.9807692307692307
007P	PWS_DEL	hap2	0	0.0	
013A	AS_DEL	hap1	0	0.0	
013A	AS_DEL	hap2	0	0.0	
014A	AS_DEL	hap1	0	0.0	
014A	AS_DEL	hap2	0	0.0	
016A	AS_DEL	hap1	0	0.0	
016A	AS_DEL	hap2	0	0.0	
017C	CONTROL	hap1	125	2491.0	0.7764588518667201
017C	CONTROL	hap2	125	2262.0	0.8721918656056586
018C	CONTROL	hap1	129	2956.0	0.7922158322056834
018C	CONTROL	hap2	129	1877.0	0.8641363878529568
