window_start	window_end	window_mid	control_maternal_mean	control_paternal_mean	n_controls_maternal	n_controls_paternal	maternal_paternal_delta	abs_delta
17600000	17601000	17600500	NaN	NaN	0	0	NaN	NaN
17601000	17602000	17601500	NaN	NaN	0	0	NaN	NaN
17602000	17603000	17602500	NaN	NaN	0	0	NaN	NaN
17603000	17604000	17603500	NaN	NaN	0	0	NaN	NaN
17604000	17605000	17604500	NaN	NaN	0	0	NaN	NaN
17605000	17606000	17605500	NaN	NaN	0	0	NaN	NaN
17606000	17607000	17606500	NaN	NaN	0	0	NaN	NaN
17607000	17608000	17607500	NaN	NaN	0	0	NaN	NaN
17608000	17609000	17608500	NaN	NaN	0	0	NaN	NaN
17609000	17610000	17609500	NaN	NaN	0	0	NaN	NaN
17610000	17611000	17610500	NaN	NaN	0	0	NaN	NaN
17611000	17612000	17611500	NaN	NaN	0	0	NaN	NaN
17612000	17613000	17612500	NaN	0.875	0	1	NaN	NaN
17613000	17614000	17613500	NaN	0.9722222222222222	0	1	NaN	NaN
17614000	17615000	17614500	NaN	0.86459375	0	1	NaN	NaN
17615000	17616000	17615500	NaN	0.7594240506329113	0	1	NaN	NaN
17616000	17617000	17616500	NaN	0.9231538461538461	0	1	NaN	NaN
17617000	17618000	17617500	NaN	0.9019411764705884	0	1	NaN	NaN
17618000	17619000	17618500	NaN	0.8492142857142857	0	1	NaN	NaN
17619000	17620000	17619500	NaN	0.9085294117647058	0	1	NaN	NaN
17620000	17621000	17620500	NaN	NaN	0	0	NaN	NaN
17621000	17622000	17621500	NaN	NaN	0	0	NaN	NaN
17622000	17623000	17622500	NaN	0.8364909090909092	0	1	NaN	NaN
17623000	17624000	17623500	NaN	0.9064035087719299	0	1	NaN	NaN
17624000	17625000	17624500	NaN	0.7460040983606557	0	1	NaN	NaN
17625000	17626000	17625500	0.7777777777777778	0.7075714285714284	1	1	0.07020634920634938	0.07020634920634938
17626000	17627000	17626500	0.8518518518518519	0.5190666666666667	1	1	0.3327851851851852	0.3327851851851852
17627000	17628000	17627500	0.8625	0.6996905829596411	1	1	0.1628094170403589	0.1628094170403589
17628000	17629000	17628500	0.95	0.7783448275862068	1	1	0.17165517241379313	0.17165517241379313
17629000	17630000	17629500	0.751972619047619	0.9356725146198832	2	1	-0.18369989557226418	0.18369989557226418
17630000	17631000	17630500	0.7192804270197888	0.9402985074626866	2	1	-0.22101808044289784	0.22101808044289784
17631000	17632000	17631500	0.84903125	0.9479375	2	1	-0.09890624999999997	0.09890624999999997
17632000	17633000	17632500	0.9492530150135368	0.9204005122143419	2	2	0.028852502799194824	0.028852502799194824
17633000	17634000	17633500	0.9040244252873564	0.9120772128060264	2	2	-0.008052787518670002	0.008052787518670002
17634000	17635000	17634500	0.8836192708333332	0.8285333333333333	2	2	0.055085937499999904	0.055085937499999904
17635000	17636000	17635500	0.9331458333333335	0.9681210468920391	2	2	-0.0349752135587057	0.0349752135587057
17636000	17637000	17636500	0.8684330247991617	0.9492254901960784	2	2	-0.08079246539691665	0.08079246539691665
17637000	17638000	17637500	0.8568009105960265	0.850701923076923	2	2	0.006098987519103427	0.006098987519103427
17638000	17639000	17638500	0.8473125	0.8123276923076924	2	2	0.03498480769230761	0.03498480769230761
17639000	17640000	17639500	0.9004964091243561	0.8934713455149502	2	2	0.007025063609405913	0.007025063609405913
17640000	17641000	17640500	0.914860197368421	0.915880458817026	2	2	-0.0010202614486050088	0.0010202614486050088
17641000	17642000	17641500	0.951983695236639	0.8682663461538461	2	2	0.08371734908279282	0.08371734908279282
17642000	17643000	17642500	0.8905808219178083	0.8123242202541394	1	2	0.07825660166366888	0.07825660166366888
17643000	17644000	17643500	0.9246578947368419	0.8503137293992558	1	2	0.07434416533758614	0.07434416533758614
17644000	17645000	17644500	0.8781250000000002	0.8604823883161512	1	2	0.017642611683848952	0.017642611683848952
17645000	17646000	17645500	0.7784863813229572	0.92709375	1	2	-0.14860736867704283	0.14860736867704283
17646000	17647000	17646500	0.8556874999999999	0.8768161764705882	1	2	-0.021128676470588248	0.021128676470588248
17647000	17648000	17647500	0.7170796812749004	0.8015917544544153	1	2	-0.08451207317951492	0.08451207317951492
17648000	17649000	17648500	0.8724803921568628	0.8358461538461539	1	1	0.03663423831070889	0.03663423831070889
17649000	17650000	17649500	0.9573617021276595	0.774375816993464	1	1	0.18298588513419545	0.18298588513419545
17650000	17651000	17650500	0.7838541666666667	0.6943750000000001	2	1	0.08947916666666667	0.08947916666666667
17651000	17652000	17651500	0.46153846153846156	0.49994999999999995	1	1	-0.038411538461538386	0.038411538461538386
17652000	17653000	17652500	0.6817727272727272	0.5830154440154439	1	1	0.09875728325728328	0.09875728325728328
17653000	17654000	17653500	0.7406666666666667	0.6356951672862454	1	1	0.10497149938042127	0.10497149938042127
17654000	17655000	17654500	0.7204301075268817	0.7315756097560975	1	1	-0.011145502229215731	0.011145502229215731
17655000	17656000	17655500	0.6185670103092783	0.8085815602836881	1	1	-0.1900145499744098	0.1900145499744098
17656000	17657000	17656500	0.7114615384615385	0.7869907407407408	1	1	-0.07552920227920235	0.07552920227920235
17657000	17658000	17657500	0.7499814814814814	0.7590454545454545	1	1	-0.009063973063973108	0.009063973063973108
17658000	17659000	17658500	0.7180593471810088	0.6430588235294117	1	1	0.07500052365159715	0.07500052365159715
17659000	17660000	17659500	0.6638888888888889	0.6479444444444444	1	1	0.015944444444444428	0.015944444444444428
17660000	17661000	17660500	0.8384206128133704	0.7007440944881889	1	1	0.13767651832518157	0.13767651832518157
17661000	17662000	17661500	0.715625	0.7638935185185185	1	1	-0.048268518518518544	0.048268518518518544
17662000	17663000	17662500	0.7994615384615386	0.7192280701754385	1	1	0.08023346828610001	0.08023346828610001
17663000	17664000	17663500	0.7137213740458015	0.7306407185628743	1	1	-0.016919344517072776	0.016919344517072776
17664000	17665000	17664500	0.7220063897763578	0.7512057416267943	1	1	-0.02919935185043654	0.02919935185043654
17665000	17666000	17665500	0.711317689530686	0.6893295880149813	1	1	0.021988101515704628	0.021988101515704628
17666000	17667000	17666500	0.7119565217391305	0.7409866071428572	1	1	-0.029030085403726757	0.029030085403726757
17667000	17668000	17667500	0.7018548812664909	0.6020185185185185	1	1	0.09983636274797236	0.09983636274797236
17668000	17669000	17668500	0.6221176470588234	0.6399411764705882	1	1	-0.017823529411764794	0.017823529411764794
17669000	17670000	17669500	0.7187214854111407	0.5584529914529915	1	1	0.16026849395814913	0.16026849395814913
17670000	17671000	17670500	0.6525141843971631	0.6979375	1	1	-0.045423315602836856	0.045423315602836856
17671000	17672000	17671500	0.7301690647482015	0.7231696428571429	1	1	0.0069994218910586214	0.0069994218910586214
17672000	17673000	17672500	0.80209375	0.8309280298447268	1	2	-0.02883427984472675	0.02883427984472675
17673000	17674000	17673500	0.5338644067796611	0.7543715082956259	1	2	-0.22050710151596487	0.22050710151596487
17674000	17675000	17674500	0.6666666666666666	0.71421931053123	1	2	-0.04755264386456337	0.04755264386456337
17675000	17676000	17675500	NaN	0.7543846153846154	0	2	NaN	NaN
17676000	17677000	17676500	NaN	0.7877677675979338	0	2	NaN	NaN
17677000	17678000	17677500	NaN	0.7793809148264985	0	2	NaN	NaN
17678000	17679000	17678500	NaN	0.7332105263157895	0	2	NaN	NaN
17679000	17680000	17679500	NaN	0.7966227005870842	0	2	NaN	NaN
17680000	17681000	17680500	0.8571428571428571	0.7771737588652483	1	2	0.07996909827760879	0.07996909827760879
17681000	17682000	17681500	0.7997899914456801	0.7603833333333333	2	2	0.03940665811234678	0.03940665811234678
17682000	17683000	17682500	0.7966250885896526	0.774816091954023	2	2	0.02180899663562963	0.02180899663562963
17683000	17684000	17683500	0.6584067875406787	0.6537484967622571	2	2	0.004658290778421614	0.004658290778421614
17684000	17685000	17684500	0.5495180876588267	0.6794784724292102	2	2	-0.12996038477038352	0.12996038477038352
17685000	17686000	17685500	0.7779706699346405	0.40179752212389386	2	2	0.3761731478107466	0.3761731478107466
17686000	17687000	17686500	0.7012897945804195	0.6165422297297297	2	2	0.0847475648506898	0.0847475648506898
17687000	17688000	17687500	0.8103802611551711	0.6666363636363637	2	2	0.14374389751880745	0.14374389751880745
17688000	17689000	17688500	0.584104895104895	0.7948389312977099	2	2	-0.21073403619281483	0.21073403619281483
17689000	17690000	17689500	0.7048760731616275	0.747331922840058	2	2	-0.042455849678430524	0.042455849678430524
17690000	17691000	17690500	0.6820889748549324	0.7197924664976457	2	2	-0.03770349164271336	0.03770349164271336
17691000	17692000	17691500	0.9286775436793422	0.8672857142857142	2	2	0.06139182939362797	0.06139182939362797
17692000	17693000	17692500	0.7443121495327103	0.6849019841269841	2	2	0.05941016540572619	0.05941016540572619
17693000	17694000	17693500	0.873985020242915	0.9127177514097745	2	2	-0.03873273116685949	0.03873273116685949
17694000	17695000	17694500	0.788845509572072	0.7568701244813278	2	2	0.03197538509074416	0.03197538509074416
17695000	17696000	17695500	0.69912	0.795954238921002	2	2	-0.09683423892100207	0.09683423892100207
17696000	17697000	17696500	0.9093987455197133	0.9434277343749999	2	2	-0.0340289888552866	0.0340289888552866
17697000	17698000	17697500	0.9029409071640526	0.9432063492063492	2	2	-0.04026544204229654	0.04026544204229654
17698000	17699000	17698500	0.8555150368248772	0.8769150119904077	2	2	-0.021399975165530494	0.021399975165530494
17699000	17700000	17699500	0.7677849399922569	0.8503325581395349	2	2	-0.08254761814727796	0.08254761814727796
17700000	17701000	17700500	0.8429923669533983	0.745988453815261	2	2	0.09700391313813728	0.09700391313813728
17701000	17702000	17701500	0.9458444940476189	0.8483636363636363	2	1	0.09748085768398262	0.09748085768398262
17702000	17703000	17702500	0.8785171102661596	0.8111465798045603	1	1	0.06737053046159935	0.06737053046159935
17703000	17704000	17703500	0.7905602094240839	0.8438691983122364	1	1	-0.0533089888881525	0.0533089888881525
17704000	17705000	17704500	0.7975582822085888	0.755055	1	1	0.04250328220858879	0.04250328220858879
17705000	17706000	17705500	0.9449724137931036	0.95303125	1	1	-0.008058836206896403	0.008058836206896403
17706000	17707000	17706500	0.9725901639344263	0.982231111111111	1	1	-0.009640947176684733	0.009640947176684733
17707000	17708000	17707500	0.7778222222222221	0.8681116751269037	1	1	-0.0902894529046816	0.0902894529046816
17708000	17709000	17708500	0.8887901234567902	0.9427285714285715	1	1	-0.05393844797178127	0.05393844797178127
17709000	17710000	17709500	0.8125833333333334	0.7912142857142855	1	1	0.0213690476190479	0.0213690476190479
