window_start	window_end	window_mid	pwsdel_retained_maternal_mean	n_pwsdel_samples	asdel_retained_paternal_mean	n_asdel_samples	reciprocal_delta	reciprocal_delta_smoothed	abs_reciprocal_delta_smoothed	boundary_threshold	delta_state
17600000	17601000	17600500	NaN	0	NaN	0	NaN	NaN	NaN	0.1	low_delta
17601000	17602000	17601500	NaN	0	NaN	0	NaN	NaN	NaN	0.1	low_delta
17602000	17603000	17602500	NaN	0	NaN	0	NaN	NaN	NaN	0.1	low_delta
17603000	17604000	17603500	NaN	0	NaN	0	NaN	NaN	NaN	0.1	low_delta
17604000	17605000	17604500	NaN	0	NaN	0	NaN	NaN	NaN	0.1	low_delta
17605000	17606000	17605500	NaN	0	NaN	0	NaN	NaN	NaN	0.1	low_delta
17606000	17607000	17606500	NaN	0	NaN	0	NaN	NaN	NaN	0.1	low_delta
17607000	17608000	17607500	NaN	0	NaN	0	NaN	NaN	NaN	0.1	low_delta
17608000	17609000	17608500	NaN	0	NaN	0	NaN	NaN	NaN	0.1	low_delta
17609000	17610000	17609500	NaN	0	NaN	0	NaN	NaN	NaN	0.1	low_delta
17610000	17611000	17610500	NaN	0	NaN	0	NaN	NaN	NaN	0.1	low_delta
17611000	17612000	17611500	NaN	0	NaN	0	NaN	NaN	NaN	0.1	low_delta
17612000	17613000	17612500	NaN	0	NaN	0	NaN	NaN	NaN	0.1	low_delta
17613000	17614000	17613500	NaN	0	NaN	0	NaN	NaN	NaN	0.1	low_delta
17614000	17615000	17614500	NaN	0	NaN	0	NaN	NaN	NaN	0.1	low_delta
17615000	17616000	17615500	NaN	0	NaN	0	NaN	NaN	NaN	0.1	low_delta
17616000	17617000	17616500	NaN	0	NaN	0	NaN	NaN	NaN	0.1	low_delta
17617000	17618000	17617500	NaN	0	NaN	0	NaN	NaN	NaN	0.1	low_delta
17618000	17619000	17618500	NaN	0	NaN	0	NaN	NaN	NaN	0.1	low_delta
17619000	17620000	17619500	NaN	0	NaN	0	NaN	NaN	NaN	0.1	low_delta
17620000	17621000	17620500	NaN	0	NaN	0	NaN	NaN	NaN	0.1	low_delta
17621000	17622000	17621500	NaN	0	NaN	0	NaN	NaN	NaN	0.1	low_delta
17622000	17623000	17622500	NaN	0	NaN	0	NaN	NaN	NaN	0.1	low_delta
17623000	17624000	17623500	0.9107142857142857	1	NaN	0	NaN	NaN	NaN	0.1	low_delta
17624000	17625000	17624500	NaN	0	NaN	0	NaN	NaN	NaN	0.1	low_delta
17625000	17626000	17625500	0.9615384615384616	1	NaN	0	NaN	NaN	NaN	0.1	low_delta
17626000	17627000	17626500	0.8809523809523809	1	NaN	0	NaN	NaN	NaN	0.1	low_delta
17627000	17628000	17627500	0.84606993006993	1	NaN	0	NaN	NaN	NaN	0.1	low_delta
17628000	17629000	17628500	0.8068357487922706	1	NaN	0	NaN	NaN	NaN	0.1	low_delta
17629000	17630000	17629500	0.7210000000000001	1	NaN	0	NaN	NaN	NaN	0.1	low_delta
17630000	17631000	17630500	0.874991379310345	1	NaN	0	NaN	NaN	NaN	0.1	low_delta
17631000	17632000	17631500	0.8014885496183206	1	NaN	0	NaN	NaN	NaN	0.1	low_delta
17632000	17633000	17632500	0.7531265822784811	1	NaN	0	NaN	NaN	NaN	0.1	low_delta
17633000	17634000	17633500	0.8888888888888888	1	NaN	0	NaN	NaN	NaN	0.1	low_delta
17634000	17635000	17634500	0.8516449502878074	2	NaN	0	NaN	NaN	NaN	0.1	low_delta
17635000	17636000	17635500	0.9293732394366196	2	NaN	0	NaN	NaN	NaN	0.1	low_delta
17636000	17637000	17636500	0.9193222701451715	2	NaN	0	NaN	NaN	NaN	0.1	low_delta
17637000	17638000	17637500	0.8665851306998008	2	NaN	0	NaN	NaN	NaN	0.1	low_delta
17638000	17639000	17638500	0.8061033044058745	2	NaN	0	NaN	NaN	NaN	0.1	low_delta
17639000	17640000	17639500	0.9094886986997156	2	NaN	0	NaN	NaN	NaN	0.1	low_delta
17640000	17641000	17640500	0.7868764367816092	2	NaN	0	NaN	NaN	NaN	0.1	low_delta
17641000	17642000	17641500	0.8712378075814675	2	NaN	0	NaN	NaN	NaN	0.1	low_delta
17642000	17643000	17642500	0.7923865971234393	2	NaN	0	NaN	NaN	NaN	0.1	low_delta
17643000	17644000	17643500	0.7542519335974345	2	NaN	0	NaN	NaN	NaN	0.1	low_delta
17644000	17645000	17644500	0.8814506393861893	2	NaN	0	NaN	NaN	NaN	0.1	low_delta
17645000	17646000	17645500	0.8594147473433094	2	NaN	0	NaN	NaN	NaN	0.1	low_delta
17646000	17647000	17646500	0.7857614329268292	2	NaN	0	NaN	NaN	NaN	0.1	low_delta
17647000	17648000	17647500	0.8623148863467538	2	NaN	0	NaN	NaN	NaN	0.1	low_delta
17648000	17649000	17648500	0.6782271286231883	2	NaN	0	NaN	NaN	NaN	0.1	low_delta
17649000	17650000	17649500	0.8727272727272728	2	NaN	0	NaN	NaN	NaN	0.1	low_delta
17650000	17651000	17650500	0.6822823529411765	1	NaN	0	NaN	NaN	NaN	0.1	low_delta
17651000	17652000	17651500	1.0	1	NaN	0	NaN	NaN	NaN	0.1	low_delta
17652000	17653000	17652500	0.8314510250569476	1	NaN	0	NaN	NaN	NaN	0.1	low_delta
17653000	17654000	17653500	0.7022712765957446	1	NaN	0	NaN	NaN	NaN	0.1	low_delta
17654000	17655000	17654500	0.7191003344481606	1	NaN	0	NaN	NaN	NaN	0.1	low_delta
17655000	17656000	17655500	0.7631894736842105	1	NaN	0	NaN	NaN	NaN	0.1	low_delta
17656000	17657000	17656500	0.6758547297297297	1	NaN	0	NaN	NaN	NaN	0.1	low_delta
17657000	17658000	17657500	0.8877073170731709	1	NaN	0	NaN	NaN	NaN	0.1	low_delta
17658000	17659000	17658500	0.851923076923077	1	NaN	0	NaN	NaN	NaN	0.1	low_delta
17659000	17660000	17659500	0.707808988764045	1	NaN	0	NaN	NaN	NaN	0.1	low_delta
17660000	17661000	17660500	0.7617678571428572	1	NaN	0	NaN	NaN	NaN	0.1	low_delta
17661000	17662000	17661500	0.8284402985074627	1	NaN	0	NaN	NaN	NaN	0.1	low_delta
17662000	17663000	17662500	0.9306249999999999	1	NaN	0	NaN	NaN	NaN	0.1	low_delta
17663000	17664000	17663500	0.8924683544303796	1	NaN	0	NaN	NaN	NaN	0.1	low_delta
17664000	17665000	17664500	0.826311377245509	1	NaN	0	NaN	NaN	NaN	0.1	low_delta
17665000	17666000	17665500	0.7923983050847456	1	NaN	0	NaN	NaN	NaN	0.1	low_delta
17666000	17667000	17666500	0.705463768115942	1	NaN	0	NaN	NaN	NaN	0.1	low_delta
17667000	17668000	17667500	0.7517	1	NaN	0	NaN	NaN	NaN	0.1	low_delta
17668000	17669000	17668500	0.6439658536585366	1	NaN	0	NaN	NaN	NaN	0.1	low_delta
17669000	17670000	17669500	0.7445488958990536	1	NaN	0	NaN	NaN	NaN	0.1	low_delta
17670000	17671000	17670500	0.7143379120879121	1	NaN	0	NaN	NaN	NaN	0.1	low_delta
17671000	17672000	17671500	0.8250556660039761	1	NaN	0	NaN	NaN	NaN	0.1	low_delta
17672000	17673000	17672500	0.8965766283524903	2	NaN	0	NaN	NaN	NaN	0.1	low_delta
17673000	17674000	17673500	0.8184122222774493	2	NaN	0	NaN	NaN	NaN	0.1	low_delta
17674000	17675000	17674500	0.8164282762014106	2	NaN	0	NaN	NaN	NaN	0.1	low_delta
17675000	17676000	17675500	0.6808562499999999	2	NaN	0	NaN	NaN	NaN	0.1	low_delta
17676000	17677000	17676500	0.9092758806912594	2	NaN	0	NaN	NaN	NaN	0.1	low_delta
17677000	17678000	17677500	0.8246528239202657	2	NaN	0	NaN	NaN	NaN	0.1	low_delta
17678000	17679000	17678500	0.768921553337492	2	NaN	0	NaN	NaN	NaN	0.1	low_delta
17679000	17680000	17679500	0.8371012494106553	2	NaN	0	NaN	NaN	NaN	0.1	low_delta
17680000	17681000	17680500	0.8595457142857144	2	NaN	0	NaN	NaN	NaN	0.1	low_delta
