window_start	window_end	window_mid	pwsdel_retained_maternal_mean	n_pwsdel_samples	asdel_retained_paternal_mean	n_asdel_samples	reciprocal_delta	reciprocal_delta_smoothed	abs_reciprocal_delta_smoothed	boundary_threshold	delta_state	pwsdel_retained_maternal_mean_smoothed	asdel_retained_paternal_mean_smoothed	panel_label
18000000	18001000	18000500	0.8363283404255318	3	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.7021384048594116	NaN	shared methylation scaffold
18001000	18002000	18001500	0.9075389301898934	3	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.7404204980842911	NaN	shared methylation scaffold
18002000	18003000	18002500	0.7404204980842911	3	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.7404204980842911	NaN	shared methylation scaffold
18003000	18004000	18003500	0.9469947180848072	3	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.7434769157088122	NaN	shared methylation scaffold
18004000	18005000	18004500	0.9100320753287106	3	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.7465333333333334	NaN	shared methylation scaffold
18005000	18006000	18005500	0.6215735564811309	3	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.7501074200939915	NaN	shared methylation scaffold
18006000	18007000	18006500	0.5516220062403758	3	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.7536815068546496	NaN	shared methylation scaffold
18007000	18008000	18007500	0.4520236618220489	3	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.7596430438756678	NaN	shared methylation scaffold
18008000	18009000	18008500	0.8625152281928599	3	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.7656045808966861	NaN	shared methylation scaffold
18009000	18010000	18009500	0.5863738348929153	3	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.7596430438756678	NaN	shared methylation scaffold
18010000	18011000	18010500	0.515643822188126	3	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.7656045808966861	NaN	shared methylation scaffold
18011000	18012000	18011500	0.5582414558175196	3	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.7665488602168853	NaN	shared methylation scaffold
18012000	18013000	18012500	0.6509322348624674	3	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.7674931395370844	NaN	shared methylation scaffold
18013000	18014000	18013500	0.6638563116345321	3	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.7966578206420573	NaN	shared methylation scaffold
18014000	18015000	18014500	0.7536815068546496	3	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.7674931395370844	NaN	shared methylation scaffold
18015000	18016000	18015500	0.7465333333333334	3	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.7966578206420573	NaN	shared methylation scaffold
18016000	18017000	18016500	0.7674931395370844	3	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.7665488602168853	NaN	shared methylation scaffold
18017000	18018000	18017500	NaN	0	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.7596430438756678	NaN	shared methylation scaffold
18018000	18019000	18018500	0.8392609138798006	3	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.7665488602168853	NaN	shared methylation scaffold
18019000	18020000	18019500	0.7656045808966861	3	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.7665488602168853	NaN	shared methylation scaffold
18020000	18021000	18020500	0.8435810397553517	3	NaN	0	NaN	NaN	NaN	0.1	low_delta	0.7665488602168853	NaN	shared methylation scaffold
