pos	baseline
22000110	0.9369999999999999
22000126	0.9450000000000001
22000159	0.933
22000186	0.7065
22000253	0.6779999999999999
22000273	0.7545
22000295	0.9455
22000312	0.9390000000000001
22000329	0.874
22000512	0.9215
22000639	0.7545
22000900	0.9390000000000001
22001145	0.764
22001714	0.8925000000000001
22001738	0.575
22002453	0.77
22002584	0.853
22002681	0.858
22002692	0.833
22002759	0.5269999999999999
22002877	0.682
22002884	0.8625
22003004	0.817
22003204	0.6465000000000001
22003374	0.431
22003425	0.888
22003457	0.735
22003569	0.5
22003796	0.8055000000000001
22003805	0.8975
22003832	0.8725
22003857	0.948
22003860	0.943
22003886	0.9115
22003900	0.9295
22003953	0.9525
22003957	0.9530000000000001
22004040	0.9510000000000001
22004101	0.954
22004109	0.956
22004122	0.9575
22004145	0.799
22004216	0.9644999999999999
22004218	0.9695
22004226	0.9615
22004255	0.9545
22004267	0.9475
22004302	0.7785
22004317	0.896
22004324	0.935
22004590	0.7344999999999999
22004836	0.9385
22004873	0.9325000000000001
22004918	0.8554999999999999
22004952	0.7510000000000001
22005130	0.706
22005296	0.5895
22005361	0.641
22005420	0.5865
22005607	0.43700000000000006
22005660	0.8235
22005826	0.8105
22006045	0.846
22006106	0.9084999999999999
22006382	0.8130000000000001
22006507	0.574
22006636	0.9315
22006890	0.5509999999999999
22007073	0.9005
22007085	0.9425
22007153	0.9115
22007278	0.4615
22007769	0.441
22008922	0.6805
22008986	0.5485
22009127	0.9075
22009381	0.595
22009415	0.46950000000000003
22009478	0.589
22009548	0.688
22009688	0.817
22009742	0.8694999999999999
22009868	0.8999999999999999
22010352	0.801
22010380	0.897
22010426	0.6745000000000001
22010495	0.3635
22010623	0.6885
22010643	0.498
22011121	0.7445
22011204	0.647
22011309	0.7215
22011430	0.8215000000000001
22011558	0.479
22012478	0.8585
22012683	0.8025
22013015	0.833
22013141	0.8495
22013277	0.814
22013296	0.5445
22013715	0.8214999999999999
22013923	0.381
22013985	0.7404999999999999
22014032	0.614
22014196	0.619
22014419	0.488
22014919	0.5725
22015089	0.646
22015209	0.1965
22015268	0.941
22015271	0.9395
22015284	0.9179999999999999
22015339	0.3905
22015760	0.679
22015818	0.40650000000000003
22015858	0.552
22015906	0.5445
22015937	0.40700000000000003
22016614	0.823
22016929	0.7395
22016939	0.8425
22016999	0.5125
22017093	0.6545
22017157	0.43100000000000005
22017187	0.864
22017234	0.9065000000000001
22017286	0.8
22017708	0.813
22018025	0.824
22018105	0.855
22018135	0.724
22018272	0.8694999999999999
22018461	0.9185000000000001
22018466	0.903
22018810	0.891
22018817	0.929
22018860	0.6725000000000001
22018929	0.9219999999999999
22019164	0.5875
22019233	0.752
22019246	0.8665
22019290	0.8035000000000001
22019367	0.871
22019377	0.9425
22019868	0.9415
22020020	0.952
22020043	0.9515
22020150	0.7130000000000001
22020153	0.849
22020267	0.628
22020427	0.9415
22020997	0.7735000000000001
22022594	0.6739999999999999
22022604	0.8335
22023405	0.8385
22023579	0.7895000000000001
22023846	0.7889999999999999
22023938	0.8975
22023946	0.853
22023955	0.673
22024043	0.907
22024059	0.756
22024099	0.9465000000000001
22024111	0.9585
22024124	0.9344999999999999
22024451	0.9425
22024467	0.9095
22024589	0.362
22024947	0.7975
22025164	0.8860000000000001
22025220	0.6585000000000001
22025263	0.162
22025308	0.875
22025313	0.8520000000000001
22025510	0.73
22025736	0.802
22025754	0.9255
22025900	0.4285
22025954	0.7565
22026095	0.8049999999999999
22026103	0.9255
22026165	0.9279999999999999
22026171	0.9255
22026841	0.157
22027051	0.587
22027199	0.743
22027468	0.8915
22027706	0.952
22027902	0.8795
22027933	0.7525
22028062	0.9095
22028585	0.874
22028692	0.7555000000000001
22030236	0.745
22030321	0.9009999999999999
22030326	0.8895
22030332	0.7010000000000001
22030520	0.8734999999999999
22030620	0.8625
22030650	0.792
22030878	0.9099999999999999
22030891	0.8585
22031147	0.8069999999999999
22031208	0.9505000000000001
22031212	0.9415
22031335	0.7885
22031423	0.8500000000000001
22031497	0.774
22031524	0.9039999999999999
22031542	0.8005
22031556	0.8625
22031632	0.9119999999999999
22031702	0.742
22031718	0.9299999999999999
22031725	0.942
22031749	0.9505000000000001
22031778	0.9515
22031825	0.9395
22031886	0.9025000000000001
22032013	0.9239999999999999
22032069	0.8425
22032258	0.7775
22032290	0.6385000000000001
22032385	0.886
22032395	0.859
22032894	0.8765000000000001
22033563	0.76
22034706	0.6535
22034781	0.7065000000000001
22034811	0.6300000000000001
22034951	0.904
22034986	0.6865
22034993	0.933
22034999	0.9315
22035042	0.4045
22035249	0.756
22035304	0.6855
22035429	0.7135
22035479	0.9515
22035531	0.8694999999999999
22035852	0.9244999999999999
22035878	0.8725
22035905	0.562
22036330	0.6875
22036404	0.6915
22036643	0.8225
22036785	0.7865000000000001
22036840	0.906
22036888	0.9410000000000001
22036898	0.9455
22036902	0.9345000000000001
22036910	0.886
22036914	0.8885000000000001
22036954	0.8714999999999999
22037044	0.653
22037235	0.917
22037437	0.8320000000000001
22037711	0.542
22037747	0.9179999999999999
22038152	0.675
22038191	0.9369999999999999
22038942	0.562
22039128	0.5589999999999999
22039365	0.698
22039586	0.759
22039738	0.71
22040319	0.42500000000000004
22040885	0.8075
22040928	0.8
22040952	0.9009999999999999
22041427	0.866
22041431	0.889
22041939	0.897
22042117	0.8935
22042142	0.679
22042192	0.8235
22043098	0.9444999999999999
22043121	0.8975
22043743	0.41500000000000004
22044056	0.8140000000000001
22044635	0.7525
22044747	0.76
22045363	0.9395
22045375	0.852
22045566	0.3845
22045977	0.9255
22046047	0.9404999999999999
22046124	0.5275
22046259	0.8885000000000001
22046265	0.923
22046421	0.7949999999999999
22046485	0.6155
22046517	0.9229999999999999
22046525	0.9285
22046654	0.9295
22046670	0.7045
22046692	0.829
22046735	0.948
22046754	0.935
22047936	0.6105
22048862	0.4295
22049300	0.8145
22049349	0.8674999999999999
22049454	0.9139999999999999
22049615	0.946
22049722	0.8
22049778	0.8734999999999999
22050602	0.594
22050629	0.6105
22050755	0.1275
22051051	0.8330000000000001
22051193	0.261
22051283	0.7675000000000001
22051512	0.9025
22051670	0.449
22051871	0.6735
22051895	0.65
22051903	0.9039999999999999
22052143	0.247
22052540	0.937
22052766	0.5465
22052811	0.598
22052895	0.9045000000000001
22053493	0.28200000000000003
22053883	0.7415
22054238	0.5800000000000001
22054504	0.885
22054548	0.9135
22054591	0.9425
22054989	0.8574999999999999
22055002	0.845
22055122	0.8555
22055295	0.9165
22055655	0.937
22055825	0.9470000000000001
22055830	0.8979999999999999
22055862	0.8684999999999999
22055888	0.501
22055993	0.8899999999999999
22056012	0.94
22056340	0.7765
22056552	0.9215
22056576	0.914
22057241	0.8714999999999999
22057704	0.919
22057742	0.8295000000000001
22057861	0.885
22057983	0.736
22057993	0.9075
22058204	0.3745
22058298	0.5275000000000001
22058458	0.8805000000000001
22058470	0.803
22058557	0.21300000000000002
22059096	0.626
22059155	0.5489999999999999
22059177	0.9155
22059222	0.9450000000000001
22059242	0.9395
22059294	0.943
22059342	0.8734999999999999
22059357	0.9099999999999999
22059420	0.919
22059582	0.8274999999999999
22059614	0.9490000000000001
22059620	0.9475
22059700	0.7264999999999999
22059793	0.925
22059836	0.9099999999999999
22060020	0.6345000000000001
22060283	0.9395
22060368	0.826
22060393	0.8614999999999999
22060452	0.699
22060596	0.731
22061061	0.9285
22061514	0.6965
22061745	0.5680000000000001
22061944	0.8095000000000001
22062274	0.8654999999999999
22062582	0.9275
22062614	0.854
22062632	0.428
22062772	0.7955000000000001
22062918	0.86
22062987	0.7959999999999999
22063254	0.885
22063265	0.8260000000000001
22063366	0.8105
22063603	0.8029999999999999
22063645	0.8625
22064701	0.43499999999999994
22064808	0.641
22065302	0.95
22065304	0.9580000000000001
22065340	0.498
22065404	0.804
22065989	0.844
22066019	0.9515
22066021	0.9570000000000001
22066027	0.9425
22066103	0.9045
22066204	0.7849999999999999
22066237	0.8619999999999999
22066247	0.9105
22066253	0.9490000000000001
22066279	0.906
22066349	0.8735
22066411	0.8009999999999999
22066436	0.897
22066544	0.8565
22066664	0.574
22066729	0.71
22067072	0.9259999999999999
22067096	0.9355
22067309	0.883
22067341	0.9085
22067430	0.861
22067436	0.8645
22067521	0.7115
22067604	0.179
22067705	0.5794999999999999
22067796	0.5165
22068246	0.8865
22068470	0.863
22068694	0.6295000000000001
22068761	0.891
22068774	0.9425
22068784	0.923
22068788	0.9255
22068814	0.9510000000000001
22068817	0.95
22068894	0.8740000000000001
22068904	0.9244999999999999
22068916	0.9550000000000001
22068921	0.9555
22068972	0.9215
22068999	0.7955
22069046	0.853
22069181	0.9450000000000001
22069213	0.9465000000000001
22069275	0.7409999999999999
22069309	0.9435
22069420	0.9470000000000001
22069568	0.598
22069591	0.881
22069784	0.7475
22069815	0.9545000000000001
22069821	0.95
22069857	0.9115
22069878	0.942
22070459	0.6065
22070928	0.892
22070961	0.421
22071012	0.8465
22071097	0.35550000000000004
22072064	0.9464999999999999
22072071	0.9215
22072125	0.853
22072386	0.20149999999999998
22072410	0.8740000000000001
22072592	0.36450000000000005
22073198	0.921
22073206	0.8665
22073228	0.9099999999999999
22073333	0.8835
22073433	0.5285
22073825	0.8835
22073921	0.6180000000000001
22074529	0.6335
22074645	0.2365
22074938	0.557
22075255	0.8165
22075452	0.829
22075703	0.893
22075728	0.685
22076123	0.9225
22076131	0.909
22076140	0.92
22076143	0.9079999999999999
22076155	0.944
22076162	0.958
22076168	0.9605000000000001
22076206	0.9485
22076360	0.835
22076486	0.9485
22076554	0.645
22076952	0.9025000000000001
22076959	0.9155
22077035	0.496
22077160	0.4395
22077443	0.7035
22077474	0.5089999999999999
22077938	0.7834999999999999
22078142	0.9215
22078191	0.7495
22078295	0.7265
22078729	0.9235
22078819	0.5585
22079509	0.491
22079595	0.9144999999999999
22079603	0.9135
22079679	0.48250000000000004
22080379	0.777
22080607	0.9404999999999999
22080624	0.9115
22080662	0.7045000000000001
22081092	0.8430000000000001
22081183	0.8625
22081393	0.8995
22081840	0.8700000000000001
22082075	0.65
22082168	0.772
22082293	0.932
22082386	0.92
22082392	0.853
22082514	0.8765000000000001
22082616	0.9380000000000001
22082672	0.319
22083074	0.9465
22083129	0.9304999999999999
22083146	0.93
22083291	0.9135
22083748	0.55
22083811	0.441
22083848	0.8495
22083986	0.39949999999999997
22084420	0.867
22084468	0.8625
22084589	0.9069999999999999
22084667	0.3875
22084740	0.679
22084766	0.8945
22085002	0.6965000000000001
22085065	0.9455
22085069	0.964
22085071	0.9595
22085081	0.9365000000000001
22085109	0.9585
22085114	0.9645
22085118	0.9650000000000001
22085125	0.9630000000000001
22085139	0.963
22085159	0.962
22085170	0.9369999999999999
22085203	0.9550000000000001
22085211	0.9664999999999999
22085215	0.957
22085235	0.873
22085259	0.9055000000000001
22085267	0.9185000000000001
22085274	0.9535
22085291	0.9650000000000001
22085297	0.97
22085299	0.967
22085321	0.9550000000000001
22085329	0.9604999999999999
22085337	0.9525
22085487	0.9255
22085571	0.7915
22085669	0.9365
22085693	0.9355
22085700	0.48749999999999993
22085948	0.5735
22086055	0.8765
22086061	0.888
22086146	0.36700000000000005
22086279	0.8135
22086557	0.879
22086581	0.833
22086653	0.9339999999999999
22086657	0.965
22086659	0.9615
22086697	0.9390000000000001
22086702	0.919
22086752	0.9209999999999999
22086800	0.8879999999999999
22086835	0.9215
22086843	0.9245000000000001
22086888	0.657
22086991	0.864
22087028	0.8534999999999999
22087061	0.8975
22087165	0.7230000000000001
22087194	0.8755
22087614	0.4305
22087665	0.9069999999999999
22088255	0.912
22088304	0.547
22088495	0.517
22088566	0.8935
22088750	0.6910000000000001
22088891	0.819
22088950	0.9279999999999999
22089211	0.878
22089252	0.9404999999999999
22089367	0.96
22089381	0.9450000000000001
22089412	0.9430000000000001
22089444	0.956
22089456	0.9420000000000001
22089508	0.929
22089540	0.9144999999999999
22089578	0.9435
22089603	0.8069999999999999
22090168	0.9369999999999999
22091145	0.8985000000000001
22091300	0.8185
22091368	0.615
22091462	0.8325
22091503	0.5185
22091662	0.6395000000000001
22091801	0.8220000000000001
22091891	0.909
22091910	0.9239999999999999
22092062	0.778
22092095	0.9285
22092120	0.9065
22092128	0.911
22092314	0.4135
22092406	0.9264999999999999
22092442	0.9470000000000001
22092585	0.9304999999999999
22092870	0.601
22093142	0.8674999999999999
22093179	0.956
22093188	0.9475
22093208	0.8745
22093220	0.945
22093324	0.476
22093839	0.6635
22094339	0.562
22094625	0.8109999999999999
22095163	0.9395
22095168	0.86
22095833	0.882
22095836	0.9105
22096010	0.211
22096213	0.30799999999999994
22096328	0.94
22096360	0.9335
22096423	0.8905000000000001
22096459	0.9179999999999999
22096534	0.6095
22096578	0.8925
22096617	0.8575
22096661	0.916
22096738	0.9259999999999999
22096768	0.909
22096832	0.9455
22096864	0.7285
22096970	0.6435
22097440	0.9375
22097735	0.492
22097974	0.9295
22097997	0.9415
22098037	0.9455
22098430	0.9145000000000001
22098958	0.9545
22098969	0.944
22099223	0.9225
22099378	0.52
22099683	0.2235
22099868	0.9209999999999999
22099881	0.916
22099929	0.6819999999999999
22099998	0.21649999999999997
22100082	0.8680000000000001
22100170	0.9259999999999999
22100302	0.7125
22100478	0.75
22100744	0.54
22100798	0.1545
22101635	0.9295
22101655	0.9235
22101680	0.9245000000000001
22101804	0.9404999999999999
22101842	0.9375
22101987	0.8495
22102232	0.8245
22102468	0.8674999999999999
22102557	0.8165
22102804	0.8654999999999999
22102953	0.8
22102995	0.912
22103091	0.9285
22103294	0.8745
22103678	0.9525
22104339	0.9564999999999999
22104376	0.97
22104378	0.964
22104384	0.9645
22104408	0.917
22104418	0.9550000000000001
22104432	0.9625
22104462	0.9495
22104476	0.741
22104505	0.75
22104535	0.9535
22104556	0.96
22104560	0.9585
22104565	0.9535
22104603	0.9665
22104605	0.9655
22104612	0.9550000000000001
22104800	0.8979999999999999
22104827	0.947
22105287	0.948
22105352	0.9035
22105683	0.9129999999999999
22105732	0.5565
22105823	0.8815
22105903	0.5129999999999999
22106193	0.9495
22106307	0.7925
22106329	0.6955
22106346	0.948
22106363	0.9415
22106371	0.9375
22106672	0.821
22106757	0.3365
22106829	0.491
22107228	0.652
22108336	0.3105
22108360	0.809
22108377	0.6105
22109156	0.875
22109164	0.499
22109201	0.6990000000000001
22109291	0.7989999999999999
22109562	0.6599999999999999
22109839	0.4665
22110308	0.764
22110327	0.9039999999999999
22110498	0.7875
22110614	0.14150000000000001
22110903	0.8625
22110986	0.876
22111322	0.4275
22111811	0.6539999999999999
22111836	0.3415
22111948	0.606
22112086	0.7949999999999999
22112243	0.8079999999999999
22112358	0.7405
22112519	0.6305
22113178	0.35850000000000004
22113265	0.6845
22113311	0.8940000000000001
22113367	0.213
22113434	0.902
22113455	0.9195
22114044	0.8585
22114256	0.5505
22114280	0.7115
22114454	0.444
22114671	0.8955
22114723	0.8109999999999999
22114745	0.5595000000000001
22114859	0.8140000000000001
22115151	0.5685
22115257	0.9115
22115308	0.9550000000000001
22115320	0.944
22116028	0.859
22116092	0.452
22116253	0.646
22116324	0.8925
22116625	0.861
22116744	0.9305
22116755	0.9580000000000001
22116758	0.9484999999999999
22116832	0.797
22117163	0.5630000000000001
22117445	0.518
22117472	0.2485
22117884	0.792
22117948	0.9159999999999999
22118023	0.661
22118055	0.9265
22118148	0.9435
22118171	0.912
22118223	0.9279999999999999
22118237	0.9380000000000001
22118440	0.7315
22118489	0.9235
22118945	0.7819999999999999
22118963	0.869
22118968	0.9225
22119040	0.7655000000000001
22119479	0.18600000000000003
22119515	0.8194999999999999
22119943	0.877
22119955	0.9265000000000001
22120101	0.792
22120578	0.9395
22120635	0.7135
22121137	0.7424999999999999
22121306	0.9255
22121999	0.712
22122053	0.6835
22122107	0.4295
22122148	0.8049999999999999
22122164	0.8725
22122203	0.8525
22122255	0.8354999999999999
22122265	0.9065
22122274	0.9215
22122474	0.7869999999999999
22122583	0.43899999999999995
22123052	0.35150000000000003
22123577	0.7535000000000001
22123784	0.8664999999999999
22123870	0.219
22124098	0.43200000000000005
22124130	0.772
22124190	0.36350000000000005
22124346	0.595
22124589	0.8885000000000001
22124617	0.9359999999999999
22124687	0.474
22124833	0.8300000000000001
22125595	0.8845
22125897	0.6585000000000001
22125911	0.739
22126014	0.94
22126123	0.38
22126184	0.8435
22126202	0.5905
22126652	0.9145
22126790	0.5569999999999999
22127345	0.694
22127395	0.6865
22127455	0.5495
22127483	0.6775
22127542	0.303
22127573	0.5725
22127646	0.27399999999999997
22127691	0.9525
22127743	0.931
22127826	0.956
22127828	0.9535
22127866	0.864
22127916	0.8260000000000001
22127955	0.9435
22127959	0.9515
22127967	0.9525
22128030	0.9515
22128324	0.7725
22128425	0.9435
22128932	0.944
22128963	0.8955
22129048	0.7355
22129291	0.8895
22129671	0.29200000000000004
22129846	0.869
22129864	0.89
22129906	0.883
22129932	0.8835
22129938	0.628
22129944	0.951
22129964	0.961
22129976	0.887
22129996	0.889
22130026	0.9015
22130119	0.957
22130123	0.9490000000000001
22130232	0.14800000000000002
22130266	0.8500000000000001
22130272	0.9025
22130299	0.9505000000000001
22130309	0.9219999999999999
22130457	0.6645
22130791	0.71
22131001	0.93
22131081	0.274
22131159	0.845
22131350	0.623
22131440	0.548
22131745	0.9319999999999999
22131785	0.8714999999999999
22131792	0.7005
22131920	0.8225
22132481	0.9015
22132606	0.9244999999999999
22133455	0.4625
22133975	0.9115
22134238	0.9325
22134253	0.8069999999999999
22134476	0.2185
22134957	0.577
22135185	0.9215
22135202	0.8465
22135672	0.6955
22135763	0.8315
22136604	0.373
22136757	0.675
22136775	0.8254999999999999
22136882	0.9375
22136945	0.868
22136974	0.9410000000000001
22137032	0.9435
22137102	0.954
22137204	0.9555
22137661	0.9385
22137716	0.9485
22137733	0.948
22137801	0.742
22137878	0.899
22137889	0.8925000000000001
22138202	0.933
22138433	0.5955
22138571	0.5195
22138890	0.6455
22138960	0.828
22139006	0.89
22139054	0.825
22139160	0.849
22139175	0.9199999999999999
22139253	0.252
22139326	0.5614999999999999
22139352	0.9265
22139895	0.9364999999999999
22139944	0.777
22139975	0.11400000000000002
22140328	0.7575000000000001
22140334	0.6265000000000001
22140419	0.3095
22140461	0.308
22140827	0.791
22140927	0.878
22140931	0.9055
22140971	0.771
22141074	0.6405
22141253	0.634
22141323	0.5229999999999999
22141426	0.35950000000000004
22141926	0.599
22142112	0.8985000000000001
22142323	0.6825
22142522	0.9239999999999999
22142570	0.6950000000000001
22143016	0.201
22143089	0.9015
22143092	0.9239999999999999
22143129	0.7095
22143468	0.6175
22143509	0.7424999999999999
22143550	0.7215
22143616	0.9404999999999999
22143627	0.944
22143641	0.903
22143672	0.881
22143714	0.9219999999999999
22143734	0.9664999999999999
22143736	0.9635
22143753	0.9570000000000001
22143768	0.8140000000000001
22143800	0.9255
22143819	0.918
22143988	0.5615
22144393	0.922
22144429	0.8009999999999999
22145096	0.5349999999999999
22145767	0.405
22145806	0.717
22145933	0.718
22146075	0.8554999999999999
22146174	0.8015
22146326	0.496
22146384	0.8479999999999999
22146392	0.865
22146578	0.6715
22146670	0.683
22147136	0.72
22147162	0.835
22147408	0.448
22147474	0.5339999999999999
22147490	0.8839999999999999
22147800	0.427
22148135	0.702
22148242	0.895
22148491	0.442
22148787	0.524
22148788	0.44799999999999995
22149256	0.9135
22149525	0.8145
22149543	0.6945
22150070	0.8170000000000001
22150196	0.6245
22150405	0.5409999999999999
22150541	0.806
22150663	0.8620000000000001
22150677	0.9410000000000001
22150903	0.7110000000000001
22150935	0.618
