feature	chrom	start	end	strand	source	within_phase2_window	plot_start	plot_end
MKRN3	chr15	21300087	21302458	+	T2T_GTF	True	21300087	21302458
MAGEL2	chr15	21377969	21382288	-	T2T_GTF	True	21377969	21382288
NDN	chr15	21419887	21421793	-	T2T_GTF	True	21419887	21421793
NPAP1	chr15	22411440	22419055	+	T2T_GTF	True	22411440	22419055
PWS-IC	chr15	22555288	22565288	.	SNRPN_TSS_proxy	True	22555288	22565288
UBE3A-ATS	chr15	22560259	23156060	+	T2T_GTF	True	22560259	23156060
SNURF-SNRPN	chr15	22560288	22715388	+	T2T_GTF	True	22560288	22715388
SNORD116	chr15	22788134	22845009	+	T2T_GTF	True	22788134	22845009
SNORD115	chr15	22907392	23006525	+	T2T_GTF	True	22907392	23006525
UBE3A	chr15	23070378	23175682	-	T2T_GTF	True	23070378	23175682
AS-IC	chr15	24910000	24930000	.	prompt_coordinate_approximation	True	24910000	24930000
