sample	window_start	window_end	window_mid	control_maternal	control_paternal
017C	17600000	17601000	17600500	NaN	NaN
017C	17601000	17602000	17601500	NaN	NaN
017C	17602000	17603000	17602500	NaN	NaN
017C	17603000	17604000	17603500	NaN	NaN
017C	17604000	17605000	17604500	NaN	NaN
017C	17605000	17606000	17605500	NaN	NaN
017C	17606000	17607000	17606500	NaN	NaN
017C	17607000	17608000	17607500	NaN	NaN
017C	17608000	17609000	17608500	NaN	NaN
017C	17609000	17610000	17609500	NaN	NaN
017C	17610000	17611000	17610500	NaN	NaN
017C	17611000	17612000	17611500	NaN	NaN
017C	17612000	17613000	17612500	NaN	0.875
017C	17613000	17614000	17613500	NaN	0.9722222222222222
017C	17614000	17615000	17614500	NaN	0.86459375
017C	17615000	17616000	17615500	NaN	0.7594240506329113
017C	17616000	17617000	17616500	NaN	0.9231538461538461
017C	17617000	17618000	17617500	NaN	0.9019411764705884
017C	17618000	17619000	17618500	NaN	0.8492142857142857
017C	17619000	17620000	17619500	NaN	0.9085294117647058
017C	17620000	17621000	17620500	NaN	NaN
017C	17621000	17622000	17621500	NaN	NaN
017C	17622000	17623000	17622500	NaN	0.8364909090909092
017C	17623000	17624000	17623500	NaN	0.9064035087719299
017C	17624000	17625000	17624500	NaN	0.7460040983606557
017C	17625000	17626000	17625500	NaN	0.7075714285714284
017C	17626000	17627000	17626500	NaN	0.5190666666666667
017C	17627000	17628000	17627500	NaN	0.6996905829596411
017C	17628000	17629000	17628500	NaN	0.7783448275862068
017C	17629000	17630000	17629500	0.9761785714285713	0.9356725146198832
017C	17630000	17631000	17630500	0.6063510638297872	NaN
017C	17631000	17632000	17631500	0.8515625	NaN
017C	17632000	17633000	17632500	0.9779411764705882	0.9148936170212766
017C	17633000	17634000	17633500	0.9375	0.8559322033898306
017C	17634000	17635000	17634500	0.9531718750000001	0.8571333333333333
017C	17635000	17636000	17635500	0.9524285714285715	0.9591428571428571
017C	17636000	17637000	17636500	0.8810714285714286	0.9117843137254902
017C	17637000	17638000	17637500	0.8681249999999999	0.8076538461538461
017C	17638000	17639000	17638500	0.8264374999999999	0.717948717948718
017C	17639000	17640000	17639500	0.8874105960264901	0.8392857142857143
017C	17640000	17641000	17640500	0.973657894736842	0.9552238805970149
017C	17641000	17642000	17641500	0.9633780487804878	0.7595865384615385
017C	17642000	17643000	17642500	NaN	0.7755918367346939
017C	17643000	17644000	17643500	NaN	0.730953216374269
017C	17644000	17645000	17644500	NaN	0.7938814432989691
017C	17645000	17646000	17645500	NaN	0.8541875000000001
017C	17646000	17647000	17646500	NaN	0.8578823529411765
017C	17647000	17648000	17647500	NaN	0.8153047210300429
017C	17648000	17649000	17648500	NaN	0.8358461538461539
017C	17649000	17650000	17649500	NaN	0.774375816993464
017C	17650000	17651000	17650500	0.734375	0.6943750000000001
017C	17651000	17652000	17651500	0.46153846153846156	0.49994999999999995
017C	17652000	17653000	17652500	0.6817727272727272	0.5830154440154439
017C	17653000	17654000	17653500	0.7406666666666667	0.6356951672862454
017C	17654000	17655000	17654500	0.7204301075268817	0.7315756097560975
017C	17655000	17656000	17655500	0.6185670103092783	0.8085815602836881
017C	17656000	17657000	17656500	0.7114615384615385	0.7869907407407408
017C	17657000	17658000	17657500	0.7499814814814814	0.7590454545454545
017C	17658000	17659000	17658500	0.7180593471810088	0.6430588235294117
017C	17659000	17660000	17659500	0.6638888888888889	0.6479444444444444
017C	17660000	17661000	17660500	0.8384206128133704	0.7007440944881889
017C	17661000	17662000	17661500	0.715625	0.7638935185185185
017C	17662000	17663000	17662500	0.7994615384615386	0.7192280701754385
017C	17663000	17664000	17663500	0.7137213740458015	0.7306407185628743
017C	17664000	17665000	17664500	0.7220063897763578	0.7512057416267943
017C	17665000	17666000	17665500	0.711317689530686	0.6893295880149813
017C	17666000	17667000	17666500	0.7119565217391305	0.7409866071428572
017C	17667000	17668000	17667500	0.7018548812664909	0.6020185185185185
017C	17668000	17669000	17668500	0.6221176470588234	0.6399411764705882
017C	17669000	17670000	17669500	0.7187214854111407	0.5584529914529915
017C	17670000	17671000	17670500	0.6525141843971631	0.6979375
017C	17671000	17672000	17671500	0.7301690647482015	0.7231696428571429
017C	17672000	17673000	17672500	0.80209375	0.7355823754789272
017C	17673000	17674000	17673500	0.5338644067796611	0.6460861538461539
017C	17674000	17675000	17674500	0.6666666666666666	0.5965058479532164
017C	17675000	17676000	17675500	NaN	0.6087692307692307
017C	17676000	17677000	17676500	NaN	0.7554085510688835
017C	17677000	17678000	17677500	NaN	0.6562618296529968
017C	17678000	17679000	17678500	NaN	0.7067067669172933
017C	17679000	17680000	17679500	NaN	0.7426739726027398
017C	17680000	17681000	17680500	0.8571428571428571	0.6193475177304965
017C	17681000	17682000	17681500	0.8571428571428571	0.6904999999999999
017C	17682000	17683000	17682500	0.7941176470588235	0.7314655172413792
017C	17683000	17684000	17683500	0.6388888888888888	0.6426086956521739
017C	17684000	17685000	17684500	0.6058394160583942	0.6908872727272727
017C	17685000	17686000	17685500	0.7410941176470589	0.45848
017C	17686000	17687000	17686500	0.6923153846153847	0.5574087837837838
017C	17687000	17688000	17687500	0.7192865497076024	0.7878181818181819
017C	17688000	17689000	17688500	0.4614825174825174	0.6563778625954199
017C	17689000	17690000	17689500	0.5531205673758866	0.6879243498817967
017C	17690000	17691000	17690500	0.7607234042553193	0.6214940239043825
017C	17691000	17692000	17691500	0.8992122302158273	0.8059999999999998
017C	17692000	17693000	17692500	0.7129000000000002	0.6270039682539682
017C	17693000	17694000	17693500	0.8096315789473685	0.9306986607142859
017C	17694000	17695000	17694500	0.8381441441441441	0.8423402489626556
017C	17695000	17696000	17695500	0.59424	0.7110751445086706
017C	17696000	17697000	17696500	0.8590555555555556	0.88685546875
017C	17697000	17698000	17697500	0.8845103857566765	0.8864126984126983
017C	17698000	17699000	17698500	0.7687127659574466	0.9138033573141487
017C	17699000	17700000	17699500	0.5991254355400696	0.8402000000000001
017C	17700000	17701000	17700500	0.7282382550335571	0.8253102409638555
017C	17701000	17702000	17701500	0.9202604166666666	0.8483636363636363
017C	17702000	17703000	17702500	0.8785171102661596	0.8111465798045603
017C	17703000	17704000	17703500	0.7905602094240839	0.8438691983122364
017C	17704000	17705000	17704500	0.7975582822085888	0.755055
017C	17705000	17706000	17705500	0.9449724137931036	0.95303125
017C	17706000	17707000	17706500	0.9725901639344263	0.982231111111111
017C	17707000	17708000	17707500	0.7778222222222221	0.8681116751269037
017C	17708000	17709000	17708500	0.8887901234567902	0.9427285714285715
017C	17709000	17710000	17709500	0.8125833333333334	0.7912142857142855
017C	17710000	17711000	17710500	0.9258888888888889	0.9350909090909092
017C	17711000	17712000	17711500	0.6404157303370788	0.7535869565217391
017C	17712000	17713000	17712500	0.9685354330708662	0.9843151750972763
017C	17713000	17714000	17713500	0.9205873015873016	0.723704761904762
017C	17714000	17715000	17714500	0.8842727272727273	0.8533636363636364
017C	17715000	17716000	17715500	0.7143142857142858	0.5686666666666668
017C	17716000	17717000	17716500	0.9194597701149425	0.9848030303030303
017C	17717000	17718000	17717500	0.8522500000000001	0.862051724137931
017C	17718000	17719000	17718500	0.6323970588235294	0.8543398058252427
017C	17719000	17720000	17719500	0.97225	0.73325
017C	17720000	17721000	17720500	0.9444999999999999	0.8832207792207791
017C	17721000	17722000	17721500	NaN	0.8968492063492064
017C	17722000	17723000	17722500	0.6666666666666666	0.7893368421052631
017C	17723000	17724000	17723500	0.8198018018018017	0.8225725806451613
017C	17724000	17725000	17724500	0.9038461538461539	0.9273541666666666
017C	17725000	17726000	17725500	0.8080719999999999	0.6410128205128205
017C	17726000	17727000	17726500	0.8101999999999999	0.8914457142857144
017C	17727000	17728000	17727500	0.8347339449541284	0.6665396825396827
017C	17728000	17729000	17728500	0.7631734104046243	0.7052946428571428
017C	17729000	17730000	17729500	0.8079418604651163	0.9065251798561151
017C	17730000	17731000	17730500	0.959483870967742	0.9416407766990291
017C	17731000	17732000	17731500	0.8110360360360359	0.7955227272727273
017C	17732000	17733000	17732500	0.5982838427947599	0.75332
017C	17733000	17734000	17733500	0.7424018404907975	0.8958854166666667
017C	17734000	17735000	17734500	0.8450649819494584	0.9001
017C	17735000	17736000	17735500	0.84275	0.8727272727272727
017C	17736000	17737000	17736500	0.6884020100502513	0.608275
017C	17737000	17738000	17737500	0.6967213114754098	0.6551494252873564
017C	17738000	17739000	17738500	0.9066666666666666	0.9376666666666665
017C	17739000	17740000	17739500	0.9608188976377953	0.9279036144578312
017C	17740000	17741000	17740500	0.9547922077922076	0.9688333333333333
017C	17741000	17742000	17741500	0.6665858585858585	0.6773387096774193
017C	17742000	17743000	17742500	0.6566265060240963	0.6373716814159291
017C	17743000	17744000	17743500	0.5506666666666666	0.7643333333333334
017C	17744000	17745000	17744500	0.597719512195122	0.6421851851851852
017C	17745000	17746000	17745500	0.7679668508287293	0.7499051724137932
017C	17746000	17747000	17746500	0.6921999999999999	0.8118
017C	17747000	17748000	17747500	NaN	NaN
017C	17748000	17749000	17748500	0.6702857142857143	0.8059776119402985
017C	17749000	17750000	17749500	NaN	NaN
017C	17750000	17751000	17750500	0.8103620689655172	0.9009108910891089
017C	17751000	17752000	17751500	0.8050932203389831	0.7461542288557214
017C	17752000	17753000	17752500	0.8523644578313253	0.9352262931034483
017C	17753000	17754000	17753500	0.5608780487804879	0.7286610169491525
017C	17754000	17755000	17754500	0.8044565217391303	0.7685
017C	17755000	17756000	17755500	0.9031751152073733	0.8915873493975902
017C	17756000	17757000	17756500	0.591	0.5944504504504504
017C	17757000	17758000	17757500	NaN	NaN
017C	17758000	17759000	17758500	NaN	NaN
017C	17759000	17760000	17759500	0.7061428571428572	0.39100909090909086
017C	17760000	17761000	17760500	0.7497777777777778	0.5169655172413793
017C	17761000	17762000	17761500	0.499829268292683	0.61525
017C	17762000	17763000	17762500	0.8239393939393941	0.7734334975369458
017C	17763000	17764000	17763500	0.8677028112449803	0.893185534591195
017C	17764000	17765000	17764500	0.8949392712550608	0.9156867469879517
017C	17765000	17766000	17765500	0.9082018348623854	0.8521111111111112
017C	17766000	17767000	17766500	0.7666666666666667	0.7497115384615385
017C	17767000	17768000	17767500	NaN	NaN
017C	17768000	17769000	17768500	0.7626089743589743	0.844125
017C	17769000	17770000	17769500	0.8419398496240601	0.814350806451613
017C	17770000	17771000	17770500	0.8340909090909092	0.8022967032967033
017C	17771000	17772000	17771500	0.6276666666666667	0.41845454545454547
017C	17772000	17773000	17772500	0.887	0.861023166023166
017C	17773000	17774000	17773500	0.8049268292682927	0.7264017094017095
017C	17774000	17775000	17774500	0.9076923076923078	0.7475436893203884
017C	17775000	17776000	17775500	0.8577629310344828	0.8197251184834122
017C	17776000	17777000	17776500	0.591	0.4545
017C	17777000	17778000	17777500	NaN	NaN
017C	17778000	17779000	17778500	NaN	NaN
017C	17779000	17780000	17779500	0.5788157894736842	0.3334615384615384
017C	17780000	17781000	17780500	0.8962962962962963	0.9149149797570849
017C	17781000	17782000	17781500	0.8376494464944649	0.8390301810865192
017C	17782000	17783000	17782500	0.5410819672131147	0.687671875
017C	17783000	17784000	17783500	NaN	NaN
017C	17784000	17785000	17784500	NaN	NaN
017C	17785000	17786000	17785500	NaN	NaN
017C	17786000	17787000	17786500	0.5555277777777777	0.55975
017C	17787000	17788000	17787500	0.6592045454545454	0.40864233576642334
017C	17788000	17789000	17788500	NaN	NaN
017C	17789000	17790000	17789500	NaN	NaN
017C	17790000	17791000	17790500	NaN	NaN
017C	17791000	17792000	17791500	0.5602482269503546	0.543158940397351
017C	17792000	17793000	17792500	0.7462822966507178	0.7743179487179488
017C	17793000	17794000	17793500	0.7399768786127169	0.6521491712707184
017C	17794000	17795000	17794500	0.34311940298507465	0.38466666666666666
017C	17795000	17796000	17795500	0.8266122448979593	0.6852962962962962
017C	17796000	17797000	17796500	0.7747527472527472	0.7783977272727273
017C	17797000	17798000	17797500	0.6803604651162791	0.8066666666666666
017C	17798000	17799000	17798500	0.5266	0.6445867768595042
017C	17799000	17800000	17799500	0.6339464285714287	0.6547499999999999
017C	17800000	17801000	17800500	0.6941044776119403	0.828847619047619
017C	17801000	17802000	17801500	0.7169954337899543	0.777888888888889
017C	17802000	17803000	17802500	0.706668863261944	0.6909883381924199
017C	17803000	17804000	17803500	0.6729456906729633	0.7376377396569122
017C	17804000	17805000	17804500	0.6841428571428573	0.6932400000000001
017C	17805000	17806000	17805500	0.8739146341463415	0.8902560975609757
017C	17806000	17807000	17806500	0.7333333333333333	0.6877708333333333
017C	17807000	17808000	17807500	0.2704590163934426	0.18437719298245608
017C	17808000	17809000	17808500	0.6643835616438356	0.4786837606837607
017C	17809000	17810000	17809500	NaN	NaN
017C	17810000	17811000	17810500	0.6996150234741784	0.8050714285714285
017C	17811000	17812000	17811500	0.719	0.4564782608695652
017C	17812000	17813000	17812500	0.7636151515151515	0.7713542600896861
017C	17813000	17814000	17813500	NaN	NaN
017C	17814000	17815000	17814500	0.6491111111111111	0.5839823008849557
017C	17815000	17816000	17815500	0.6434554455445545	0.43295522388059704
017C	17816000	17817000	17816500	0.7288294573643411	0.6292134831460674
017C	17817000	17818000	17817500	0.66	0.6930113636363637
017C	17818000	17819000	17818500	0.4756219512195122	0.3648378378378378
017C	17819000	17820000	17819500	0.5454545454545454	0.4603812949640288
017C	17820000	17821000	17820500	0.8571020408163265	0.7362087912087912
017C	17821000	17822000	17821500	0.619	0.7517777777777778
017C	17822000	17823000	17822500	0.8775175438596492	0.868328947368421
017C	17823000	17824000	17823500	0.432	0.5632038834951456
017C	17824000	17825000	17824500	0.520810650887574	0.4247712418300654
017C	17825000	17826000	17825500	0.8304745762711864	0.8811089108910891
017C	17826000	17827000	17826500	0.5605169082125603	0.46814893617021275
017C	17827000	17828000	17827500	0.4544812834224599	0.5894589371980675
017C	17828000	17829000	17828500	0.3049024390243903	0.6597938144329897
017C	17829000	17830000	17829500	0.39442857142857146	0.35428571428571426
017C	17830000	17831000	17830500	0.6238019801980198	0.5746771653543308
017C	17831000	17832000	17831500	0.5386153846153846	0.7213365384615386
017C	17832000	17833000	17832500	0.753375	0.7193834586466167
017C	17833000	17834000	17833500	0.4032016129032258	0.44373749999999995
017C	17834000	17835000	17834500	0.6715142857142857	0.6193295454545455
017C	17835000	17836000	17835500	0.5783125	0.6251111111111111
017C	17836000	17837000	17836500	0.8047749999999999	0.8099295774647887
017C	17837000	17838000	17837500	0.37943678160919536	0.744
017C	17838000	17839000	17838500	0.7591897810218979	0.7377103448275862
017C	17839000	17840000	17839500	0.6956666666666668	0.611
017C	17840000	17841000	17840500	0.8094166666666667	0.76825
017C	17841000	17842000	17841500	0.5045504587155963	0.5314774774774775
017C	17842000	17843000	17842500	0.7949	0.7752366863905324
017C	17843000	17844000	17843500	0.51	0.46425
017C	17844000	17845000	17844500	0.552	0.7018749999999999
017C	17845000	17846000	17845500	0.5891991701244814	0.6299800000000001
017C	17846000	17847000	17846500	0.17654901960784317	0.408
017C	17847000	17848000	17847500	0.5207270973963356	0.7595783132530121
017C	17848000	17849000	17848500	0.528579958463136	0.7432017844886756
017C	17849000	17850000	17849500	0.8277103448275862	0.5300999999999999
017C	17850000	17851000	17850500	0.9108712871287128	0.87475
017C	17851000	17852000	17851500	NaN	NaN
017C	17852000	17853000	17852500	0.8487499999999998	0.7618690476190478
017C	17853000	17854000	17853500	0.66296	0.7295327868852458
017C	17854000	17855000	17854500	0.6468478260869566	0.5613157894736842
017C	17855000	17856000	17855500	0.5798784722222222	0.8055000000000001
017C	17856000	17857000	17856500	0.515557894736842	0.7721228070175439
017C	17857000	17858000	17857500	0.8452783505154638	0.9180081967213114
017C	17858000	17859000	17858500	0.8631232876712329	0.7907209302325581
017C	17859000	17860000	17859500	0.5512499999999999	0.4211157894736842
017C	17860000	17861000	17860500	0.7142463054187191	0.7324488188976378
017C	17861000	17862000	17861500	NaN	NaN
017C	17862000	17863000	17862500	0.8511294117647059	0.7117
017C	17863000	17864000	17863500	0.7424484536082474	0.8608521739130435
017C	17864000	17865000	17864500	0.6945	0.8439999999999999
017C	17865000	17866000	17865500	0.6305270935960592	0.6890840336134453
017C	17866000	17867000	17866500	0.6237696629213484	0.644981308411215
