region_class	chrom	start	end	size_bp	mean_abs_delta	n_windows
biallelic_convergent	chr15	18412000	18441000	29000	0.029094387408575076	29
biallelic_convergent	chr15	19107000	19137000	30000	0.03427395590682096	30
biallelic_convergent	chr15	19559000	19589000	30000	0.041813469782443824	30
biallelic_convergent	chr15	20109000	20168000	59000	0.029742430999744388	59
biallelic_convergent	chr15	20169000	20199000	30000	0.023164085478060963	30
biallelic_convergent	chr15	20216000	20292000	76000	0.027014862179838593	76
biallelic_convergent	chr15	20544000	20591000	47000	0.02263148205304867	47
biallelic_convergent	chr15	20592000	20640000	48000	0.022432753596295096	48
biallelic_convergent	chr15	20641000	20677000	36000	0.023954829474977662	36
biallelic_convergent	chr15	20678000	20708000	30000	0.02521618288350279	30
biallelic_convergent	chr15	21136000	21166000	30000	0.0407677180411289	30
biallelic_convergent	chr15	22949000	22985000	36000	0.029691075385569143	36
biallelic_convergent	chr15	23197000	23223000	26000	0.033921193847690344	26
biallelic_convergent	chr15	23584000	23615000	31000	0.03507455284045312	31
biallelic_convergent	chr15	24284000	24311000	27000	0.038900977262081846	27
biallelic_convergent	chr15	24755000	24785000	30000	0.03795746213077186	30
biallelic_convergent	chr15	24793000	24832000	39000	0.028087444985425664	39
biallelic_convergent	chr15	24950000	24977000	27000	0.03307867194344017	27
biallelic_convergent	chr15	24978000	25007000	29000	0.03913144356446282	29
biallelic_convergent	chr15	25743000	25773000	30000	0.031544604565036556	30
biallelic_convergent	chr15	25834000	25880000	46000	0.025932748761419024	46
biallelic_convergent	chr15	25882000	25925000	43000	0.020375211852720544	43
biallelic_convergent	chr15	25926000	25979000	53000	0.02573804669607692	53
biallelic_convergent	chr15	25990000	26031000	41000	0.02615558455963546	41
biallelic_convergent	chr15	26032000	26071000	39000	0.018365626725196895	39
biallelic_convergent	chr15	26081000	26135000	54000	0.031561487532491515	54
biallelic_convergent	chr15	26341000	26372000	31000	0.03158071297731066	31
biallelic_convergent	chr15	26373000	26402000	29000	0.022533256917721296	29
biallelic_convergent	chr15	26414000	26447000	33000	0.022010369320400507	33
biallelic_convergent	chr15	26454000	26494000	40000	0.02775630350576085	40
biallelic_convergent	chr15	26632000	26686000	54000	0.02861637005364803	54
biallelic_convergent	chr15	26841000	26868000	27000	0.03735839145669864	27
biallelic_convergent	chr15	26882000	26910000	28000	0.027188893182579558	28
biallelic_convergent	chr15	26946000	26972000	26000	0.03466849376684693	26
biallelic_convergent	chr15	27020000	27061000	41000	0.030914996750071044	41
biallelic_convergent	chr15	27107000	27146000	39000	0.032310829669119204	39
biallelic_convergent	chr15	27402000	27428000	26000	0.03258057384782832	26
