window_start	window_end	n_CpGs	mean_meth_haplotype1	mean_meth_haplotype2	parental_label_haplotype1	parental_label_haplotype2	n_reads_haplotype1	n_reads_haplotype2
17600000	17601000	17	NaN	NaN	control_paternal_like	control_maternal_like	0.0	0.0
17601000	17602000	16	NaN	NaN	control_paternal_like	control_maternal_like	0.0	0.0
17602000	17603000	16	NaN	NaN	control_paternal_like	control_maternal_like	0.0	0.0
17603000	17604000	16	NaN	NaN	control_paternal_like	control_maternal_like	0.0	0.0
17604000	17605000	16	NaN	NaN	control_paternal_like	control_maternal_like	0.0	0.0
17605000	17606000	12	NaN	NaN	control_paternal_like	control_maternal_like	0.0	0.0
17606000	17607000	18	NaN	NaN	control_paternal_like	control_maternal_like	0.0	0.0
17607000	17608000	16	NaN	NaN	control_paternal_like	control_maternal_like	0.0	0.0
17608000	17609000	16	NaN	NaN	control_paternal_like	control_maternal_like	0.0	0.0
17609000	17610000	15	NaN	NaN	control_paternal_like	control_maternal_like	0.0	0.0
17610000	17611000	15	NaN	NaN	control_paternal_like	control_maternal_like	0.0	0.0
17611000	17612000	17	NaN	NaN	control_paternal_like	control_maternal_like	0.0	0.0
17612000	17613000	17	0.875	NaN	control_paternal_like	control_maternal_like	48.0	0.0
17613000	17614000	15	0.9722222222222222	NaN	control_paternal_like	control_maternal_like	72.0	0.0
17614000	17615000	15	0.86459375	NaN	control_paternal_like	control_maternal_like	96.0	0.0
17615000	17616000	18	0.7594240506329113	NaN	control_paternal_like	control_maternal_like	158.0	0.0
17616000	17617000	13	0.9231538461538461	NaN	control_paternal_like	control_maternal_like	117.0	0.0
17617000	17618000	17	0.9019411764705884	NaN	control_paternal_like	control_maternal_like	153.0	0.0
17618000	17619000	14	0.8492142857142857	NaN	control_paternal_like	control_maternal_like	126.0	0.0
17619000	17620000	17	0.9085294117647058	NaN	control_paternal_like	control_maternal_like	153.0	0.0
17620000	17621000	14	NaN	NaN	control_paternal_like	control_maternal_like	16.0	0.0
17621000	17622000	14	NaN	NaN	control_paternal_like	control_maternal_like	0.0	0.0
17622000	17623000	19	0.8364909090909092	NaN	control_paternal_like	control_maternal_like	55.0	0.0
17623000	17624000	15	0.9064035087719299	NaN	control_paternal_like	control_maternal_like	171.0	0.0
